Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9a0874c4253249e9b19acf901553a1b2b283306a7d4e8e12ad5970d6d51a1812,2016-01,City of London Police,City of London Police,-0.077596,51.515849,On or near ARTIZAN STREET,E01000005,City of London 001E,Offender given a caution
cedbd8e53be09aedf425960b92532a605f81c5a3d68ecde626c5b180ab78c7ed,2016-01,City of London Police,City of London Police,-0.106922,51.514204,On or near FLEET STREET,E01032740,City of London 001G,Unable to prosecute suspect
71e4ed14fa7cab036a6a071f05f3ce916c72f9277a2d4680300ba326dbccbbee,2016-01,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Unable to prosecute suspect
37d129dcbffc39f2406456cd2db7d327368f43f29561554ee96f74d296e26b43,2016-01,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given a caution
fc64024e2cd4fff34e64e755bc61a05556d28315d91b11192fe840065a5a67eb,2016-01,City of London Police,City of London Police,-0.079011,51.509614,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
75e335d991a5eb085420479a9d038ad00c8e3fa9a2d223b053908482a8977f8e,2016-01,City of London Police,City of London Police,-0.092628,51.517920,On or near ST ALPHAGE GARDEN,E01000002,City of London 001B,Offender given a caution
827fc230bc838a300c3acb4436f4ee4cfceef66dfdf152b0f3d9e3965bb60c85,2016-01,City of London Police,City of London Police,-0.078718,51.521038,On or near NORTON FOLGATE,E01004307,Tower Hamlets 015B,Suspect charged
2df6f856bca6c389479db341b14681eafc048449d394a418f4fb2ceffbf6cb60,2016-01,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
83a20851c9195b72da4e521ae36af1b9056e593aa65051757fc359c7566c042e,2016-01,City of London Police,City of London Police,-0.093398,51.512951,On or near WATLING STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
754345ef727ec05d8e2a03f91094af535fa76dba69718c24563bbd26bc6f7eb6,2016-01,City of London Police,City of London Police,-0.083242,51.512165,On or near LIME STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
40481ddf24e7fb8b550e400c1d8711c1e3e697e20c211c923d3305d400f1e9b6,2016-01,City of London Police,City of London Police,-0.112519,51.517568,On or near SOUTHAMPTON BUILDINGS,E01032740,City of London 001G,Investigation complete; no suspect identified
cb09d1dff282a76c7fcc5439dc83912a11776b07e494e21437b7678eb0110403,2016-01,City of London Police,City of London Police,-0.109155,51.516668,On or near FETTER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
f935de2384d794eaf305a3d64842a7c216d69913136fc643fffcc24b11908c1d,2016-01,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Unable to prosecute suspect
7f74a01f3acf0a504eca6aded526ca287a30e36871793b1d49276c037f1e79cb,2016-01,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
c819bb7ec43cc63051869f0e7939f8d3930edf2f97b7267bb31d58485f6ef149,2016-01,City of London Police,City of London Police,-0.097277,51.515307,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Investigation complete; no suspect identified
870622779f3d0b8a34c9384c1eb8cf823e06e1c0116d2e6ea08f0f5b770c30e9,2016-01,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given a caution
7d005d1e456356d0e4161cb96eb324ca73db63f2af8ac28dd7848f4919d08cf2,2016-01,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
74a4da973d51716a18bccac934ff971da8f820fd42b36c93e67edb30407a96bc,2016-01,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Local resolution
00583cbc0f2fcd880d829e92b6f6c8d15e5e3f20cfbcc748f83a6abd488a8a23,2016-01,City of London Police,City of London Police,-0.073254,51.512856,On or near MANSELL STREET,E01000005,City of London 001E,Unable to prosecute suspect
54d041ef0f809060f2328c4ce3e74bf8c8b338dff2ae3782ec4087fc5b471449,2016-01,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fe0ddd67e895d96a5b75a05b58c90bf057ac767bfba871f050014c4f2fcb571a,2016-01,City of London Police,City of London Police,-0.081549,51.511625,On or near MINCING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
